timestamps,TP9,AF7,AF8,TP10,Right AUX
1575280167.476,-1000.000,999.512,999.512,-1000.000,-419.922
1575280167.480,-185.547,999.512,999.512,-291.504,-307.617
1575280167.484,-899.414,999.512,999.512,996.094,108.398
1575280167.488,862.793,999.512,999.512,-948.242,276.855
1575280167.492,-472.168,999.512,999.512,-161.133,-39.551
1575280167.496,-1000.000,999.512,999.512,-1000.000,-396.484
1575280167.499,-193.848,999.512,999.512,-280.762,-344.727
1575280167.503,999.023,999.512,999.512,949.707,83.984
1575280167.507,-901.855,999.512,999.512,-857.910,348.145
1575280167.511,31.250,999.512,999.512,234.375,94.727
1575280167.515,-1000.000,999.512,999.512,-1000.000,-344.238
1575280167.519,-282.715,999.512,999.512,-236.328,-378.418
1575280167.523,967.285,999.512,999.512,-997.070,44.922
1575280167.527,-871.094,999.512,999.512,-881.348,337.891
1575280167.531,254.883,999.512,999.512,355.957,181.641
1575280167.535,-1000.000,999.512,999.512,-1000.000,-275.391
1575280167.539,-483.887,999.512,999.512,-326.660,-416.992
1575280167.542,896.973,999.512,999.512,974.609,-8.301
1575280167.546,-843.262,999.512,999.512,-895.996,336.426
1575280167.550,225.586,999.512,999.512,587.891,203.613
1575280167.554,-1000.000,999.512,999.512,-973.633,-205.566
1575280167.558,-755.371,999.512,999.512,-571.289,-413.086
1575280167.562,608.887,999.512,999.512,881.348,-116.699
1575280167.566,-779.297,999.512,999.512,-906.738,286.621
1575280167.570,243.164,999.512,999.512,775.879,278.320
1575280167.574,-1000.000,999.512,999.512,-691.895,-181.152
1575280167.578,-983.398,999.512,999.512,-858.398,-471.680
1575280167.581,250.000,999.512,999.512,643.555,-161.621
1575280167.585,-743.652,999.512,999.512,-890.137,298.340
1575280167.589,408.691,999.512,999.512,876.953,342.285
1575280167.593,-897.949,999.512,999.512,-407.227,-108.398
1575280167.597,-1000.000,999.512,999.512,-1000.000,-457.031
1575280167.601,8.301,999.512,999.512,205.566,-209.473
1575280167.605,-785.156,999.512,999.512,-888.184,246.582
1575280167.609,594.727,999.512,999.512,984.863,307.129
1575280167.613,-761.230,999.512,999.512,-178.223,-49.805
