timestamps,TP9,AF7,AF8,TP10,Right AUX
1574477754.482,-13.672,32.715,34.180,-22.461,95.703
1574477754.485,-4.883,30.273,32.227,-19.531,4.395
1574477754.489,0.000,23.438,26.367,-25.391,-23.438
1574477754.493,-1.465,27.344,20.020,-21.484,13.672
1574477754.497,-22.461,30.762,21.973,-9.766,29.297
1574477754.501,-31.738,34.668,25.879,-13.672,18.555
1574477754.505,-15.137,32.715,24.902,-24.902,46.387
1574477754.509,-1.465,34.668,26.855,-3.418,4.395
1574477754.513,-6.836,37.109,29.297,3.418,18.066
1574477754.517,-24.414,31.738,22.949,-5.859,42.480
1574477754.521,-19.531,32.715,17.090,6.348,0.977
1574477754.524,-3.906,38.574,19.531,12.695,17.090
1574477754.528,1.953,35.156,23.926,0.488,46.387
1574477754.532,-0.488,29.297,24.902,-17.090,62.988
1574477754.536,-7.812,27.832,34.668,-18.066,37.109
1574477754.540,-18.066,26.367,40.039,-6.836,25.879
1574477754.544,-23.926,19.043,30.273,-18.555,53.711
1574477754.548,-14.648,27.832,25.879,-14.648,69.824
1574477754.552,-14.648,51.270,26.855,14.648,66.406
1574477754.556,-23.926,44.922,11.719,-14.648,21.973
1574477754.560,-19.043,26.855,12.695,-27.344,17.090
1574477754.564,-2.441,29.785,30.762,-3.906,7.324
1574477754.567,16.602,45.410,31.250,-16.113,-12.695
1574477754.571,6.836,44.922,20.020,-15.625,6.348
1574477754.575,-4.883,45.898,10.742,-25.391,-14.160
1574477754.579,-1.465,53.223,19.531,-37.109,-6.348
1574477754.583,-9.766,44.434,26.855,-21.973,-4.395
1574477754.587,-5.371,40.527,19.531,-10.254,-27.832
1574477754.591,-4.883,36.133,23.926,-14.160,6.836
1574477754.595,-16.602,28.320,22.949,-22.461,41.016
1574477754.599,-21.973,22.949,17.090,0.977,31.738
1574477754.603,-25.879,20.508,15.625,5.371,-8.301
1574477754.606,-6.348,26.367,9.766,-11.230,35.645
1574477754.610,1.465,30.762,14.648,-1.953,92.285
